"Terrain","Environment","Elevation","Difficulty","Distance","Class"
"grass","empty","4","0","1","Recommended"
"sand ","brush","2","0","1","Not Recommended"
"rock","forest ","1","0","1.414","Not Recommended"
"water","jungle ","-4","1","1.414","Recommended"
"ice","road","4","0","1","Not Recommended"
"grass","ruins ","-1","0","1","Recommended"
"sand ","town","-4","1","1","Not Recommended"
"rock","city","0","0","1","Not Recommended"
"water","empty","-5","1","1.414","Not Recommended"
"ice","brush","-4","0","1.414","Recommended"
"grass","forest ","5","0","1","Not Recommended"
"sand ","jungle ","3","0","1","Recommended"
"rock","road","-4","1","1.414","Not Recommended"
"grass","empty","5","1","1","Not Recommended"
"sand ","brush","-4","1","1","Not Recommended"
"grass","empty","4","1","1.414","Not Recommended"
"sand ","brush","0","1","1.414","Recommended"
"grass","forest ","5","0","1","Not Recommended"
"sand ","empty","-1","0","1","Recommended"
"rock","brush","1","0","1","Not Recommended"
"water","forest ","2","1","1","Recommended"
"ice","jungle ","0","1","1.414","Not Recommended"
"grass","empty","-5","1","1","Not Recommended"
"sand ","empty","0","0","1","Recommended"
"rock","brush","4","0","1.414","Not Recommended"
"grass","forest ","3","0","1.414","Recommended"
"sand ","jungle ","-1","1","1","Not Recommended"
"rock","road","-5","0","1","Recommended"
"water","empty","4","0","1","Not Recommended"
"ice","brush","-3","1","1","Recommended"
"grass","forest ","-1","0","1","Not Recommended"
"sand ","jungle ","2","0","1.414","Recommended"
"grass","empty","-4","1","1.414","Not Recommended"
"sand ","brush","5","0","1","Not Recommended"
"rock","forest ","5","0","1","Not Recommended"
"water","empty","5","0","1.414","Recommended"
"ice","brush","-4","0","1.414","Not Recommended"
"grass","forest ","-3","0","1","Recommended"
"sand ","jungle ","1","1","1","Not Recommended"
"rock","road","2","0","1.414","Recommended"
"water","ruins ","1","1","1.414","Not Recommended"
"ice","town","-5","0","1","Recommended"
